AGECL,HHSEX,EDCL,KIDS,MARRIED,HOUSECL,OCCAT2,LIFECL,INCCAT,NWCAT,WSAVED,SPENDMOR,KNOWL,Risk_tolerance
6,2,3,0,2,1,4,6,2,3,2,2,10,0.0
6,2,3,0,2,1,4,6,2,3,2,2,10,0.0
6,2,3,0,2,1,4,6,2,3,2,2,10,0.0
3,1,4,0,1,1,2,2,6,5,3,4,8,0.7899159663865546
3,1,4,0,1,1,2,2,6,5,3,4,8,0.813780260707635
3,1,4,0,1,1,2,2,6,5,3,4,8,0.8575498575498576
3,1,4,0,1,1,2,2,6,5,3,4,8,0.8333333333333334
3,1,4,0,1,1,2,2,6,5,3,4,8,0.8043052837573386
3,1,4,0,1,1,1,2,5,4,3,4,9,0.8958333333333334
3,1,4,0,1,1,1,2,5,4,3,4,9,0.8958333333333334
3,1,4,0,1,1,1,2,5,4,3,4,9,0.8958333333333334
3,1,4,0,1,1,1,2,5,4,3,4,9,0.8958333333333334
3,1,4,0,1,1,1,2,5,4,3,4,9,0.8958333333333334
6,2,3,0,2,1,4,6,1,3,2,4,3,0.0
6,2,4,0,2,1,4,6,1,3,2,4,3,0.0
6,2,4,0,2,1,4,6,1,3,2,4,3,0.0
6,2,4,0,2,1,4,6,1,3,2,4,3,0.0
6,2,3,0,2,1,4,6,1,3,2,4,3,0.0
5,1,3,0,2,2,4,6,1,1,3,5,8,0.0
5,1,3,0,2,2,4,6,1,1,3,5,8,0.0
5,1,3,0,2,2,4,6,1,1,3,5,8,0.0
5,1,3,0,2,2,4,6,1,1,3,5,8,0.0
5,1,3,0,2,2,4,6,1,1,3,5,8,0.0
4,1,4,0,1,1,1,5,6,5,1,3,10,0.9745762711864406
4,1,4,0,1,1,1,5,6,5,1,3,10,0.9767624430836866
4,1,4,0,1,1,1,5,6,5,1,3,10,0.9763853904282116
4,1,4,0,1,1,1,5,6,5,1,3,10,0.9739857541034376
4,1,4,0,1,1,1,5,6,5,1,3,10,0.9741856177012908
2,1,4,1,1,1,1,3,5,3,3,1,6,0.7447637603507062
2,1,4,1,1,1,1,3,5,3,3,1,6,0.7472262421611191
2,1,4,1,1,1,1,3,5,3,3,1,6,0.744140625
2,1,4,1,1,1,1,3,5,3,3,1,6,0.7475915221579962
2,1,4,1,1,1,1,3,5,3,3,1,6,0.7479557479557479
1,1,3,2,1,2,3,3,2,1,2,2,8,0.0
1,1,3,2,1,2,3,3,2,1,2,2,8,0.0
1,1,3,2,1,2,3,3,2,1,2,2,8,0.0
1,1,3,2,1,2,3,3,2,1,2,2,8,0.0
1,1,3,2,1,2,3,3,2,1,2,2,8,0.0
5,1,4,5,1,1,4,6,4,3,3,3,9,0.8591885441527446
5,1,4,5,1,1,4,6,4,3,3,3,9,0.8591885441527446
5,1,4,5,1,1,4,6,4,3,3,3,9,0.8591885441527446
5,1,4,5,1,1,4,6,4,3,3,3,9,0.8591885441527446
5,1,4,5,1,1,4,6,4,3,3,3,9,0.8591885441527446
3,1,2,0,2,2,3,1,2,1,2,4,5,0.0
3,1,2,0,2,2,3,1,2,1,2,4,5,0.0
3,1,2,0,2,2,3,1,2,1,2,4,5,0.0
3,1,2,0,2,2,3,1,2,1,2,4,5,0.0
3,1,2,0,2,2,3,1,2,1,2,4,5,0.0
4,1,4,1,1,1,1,5,6,5,3,3,9,0.9860471605971816
4,1,4,1,1,1,1,5,6,5,3,3,9,0.9859075535512966
4,1,4,1,1,1,1,5,6,5,3,3,9,0.9778319663045888
4,1,4,1,1,1,1,5,6,5,3,3,9,0.9881206937514849
4,1,4,1,1,1,1,5,6,5,3,3,9,0.9806163985268462
3,1,3,0,1,2,3,2,4,3,3,4,7,0.4907539118065434
3,1,3,0,1,2,3,2,4,3,3,4,7,0.4907539118065434
3,1,3,0,1,2,3,2,4,3,3,4,7,0.4907539118065434
3,1,3,0,1,2,3,2,4,3,3,4,7,0.4907539118065434
3,1,3,0,1,2,3,2,4,3,3,4,7,0.4907539118065434
1,1,3,2,1,2,1,3,3,1,2,4,6,0.5651105651105651
1,1,3,2,1,2,1,3,3,1,2,4,6,0.5637254901960784
1,1,3,2,1,2,1,3,3,1,2,4,6,0.5609756097560976
1,1,3,2,1,2,1,3,3,1,2,4,6,0.5609756097560976
1,1,3,2,1,2,1,3,3,1,2,4,6,0.5651105651105651
4,2,4,1,2,1,4,6,2,3,2,2,8,0.0847457627118644
4,2,4,1,2,1,4,6,2,3,2,2,8,0.07990867579908675
4,2,4,1,2,1,4,6,2,3,2,2,8,0.0857843137254902
4,2,4,1,2,1,4,6,2,3,2,2,8,0.07990867579908675
4,2,4,1,2,1,4,6,2,3,2,2,8,0.078125
3,1,3,2,1,2,4,3,3,1,1,2,6,0.6493506493506493
3,1,3,2,1,2,4,3,3,1,1,2,6,0.6493506493506493
3,1,3,2,1,2,4,3,3,1,1,2,6,0.6493506493506493
3,1,3,2,1,2,4,3,3,1,1,2,6,0.6493506493506493
3,1,3,2,1,2,4,3,3,1,1,2,6,0.6493506493506493
6,1,3,0,1,1,4,6,5,5,3,1,7,0.8122362869198312
6,1,3,0,1,1,4,6,4,5,3,1,7,0.7726692209450831
